,measurement,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
52,tBodyGyroMag-std(),-0.499839594,-0.680584888,-0.674010291,-0.706738494,-0.664078384,-0.579837818,-0.598670796,-0.581422885,-0.663198385,-0.624408369,-0.696771379,-0.684858057,-0.63636494,-0.471486715,-0.67533696,-0.784822866,-0.750145261,-0.775779059,-0.610093381,-0.580023613,-0.76130312,-0.676378562,-0.541949074,-0.742983127,-0.685152795,-0.75183369,-0.754713306,-0.710956809,-0.653732302,-0.573779429,-0.382629016,-0.337142124,-0.251427801,-0.951199016,-0.929531182,-0.94059611
53,tBodyGyroJerkMag-std(),-0.652050771,-0.740088734,-0.803661364,-0.844187064,-0.734187493,-0.644474485,-0.658017845,-0.715838386,-0.786176892,-0.768821829,-0.866905013,-0.786386533,-0.712056187,-0.727023009,-0.837120078,-0.874800166,-0.82525597,-0.888565337,-0.725598699,-0.683503745,-0.8240899,-0.826493448,-0.573942888,-0.788997851,-0.872776184,-0.818279113,-0.83721288,-0.805738383,-0.840156364,-0.810398515,-0.498841025,-0.666836734,-0.440929332,-0.984607629,-0.973528581,-0.976754966
54,fBodyAcc-std()-X,-0.553060617,-0.619788103,-0.623805015,-0.597551324,-0.492829886,-0.506680277,-0.572347541,-0.585343461,-0.547995745,-0.541170169,-0.579491755,-0.586922578,-0.620602036,-0.609406374,-0.547150855,-0.656969045,-0.593510173,-0.687850549,-0.570897975,-0.603148949,-0.665349663,-0.528958813,-0.633839114,-0.664356692,-0.705223687,-0.613499598,-0.654659392,-0.647807193,-0.572787949,-0.609238912,-0.322835798,-0.21888799,0.121937985,-0.983747267,-0.985859787,-0.959031456
55,fBodyAcc-std()-Y,-0.39015094,-0.464723863,-0.50275364,-0.534661524,-0.422162171,-0.396677794,-0.567046977,-0.378656459,-0.586766083,-0.532135173,-0.50257024,-0.553076639,-0.462584459,-0.376829989,-0.501568435,-0.661844531,-0.576930056,-0.632838238,-0.530901585,-0.381534029,-0.578748587,-0.515580973,-0.55447168,-0.59467679,-0.529064652,-0.60027481,-0.649506675,-0.595110473,-0.630978845,-0.531321492,-0.077206342,-0.021811037,-0.008233671,-0.93253349,-0.931132967,-0.942460971
56,fBodyAcc-std()-Z,-0.498583092,-0.600678615,-0.657443766,-0.708764044,-0.649351211,-0.694365207,-0.460792123,-0.513206313,-0.501074007,-0.625871772,-0.652095671,-0.709983235,-0.599036895,-0.275013722,-0.71143134,-0.605646725,-0.656622932,-0.694874091,-0.680291383,-0.647515612,-0.675588193,-0.665517,-0.474767544,-0.655360521,-0.630224638,-0.718490476,-0.692130766,-0.69576728,-0.602550925,-0.506570361,-0.296078309,-0.14660179,-0.245872897,-0.934336688,-0.935439598,-0.945643635
57,fBodyAccJerk-std()-X,-0.543979776,-0.595105613,-0.657844056,-0.644622005,-0.584013627,-0.555346159,-0.626785745,-0.598546245,-0.572819894,-0.553403479,-0.672195644,-0.602960063,-0.649606227,-0.661460357,-0.637655155,-0.734776737,-0.676544941,-0.742517894,-0.586910129,-0.634710081,-0.709800728,-0.602457991,-0.635054351,-0.751378154,-0.807712526,-0.694314519,-0.712857957,-0.704073382,-0.651564189,-0.701879209,-0.287897689,-0.388992761,-0.082190516,-0.986184954,-0.981826076,-0.982459599
58,fBodyAccJerk-std()-Y,-0.466251677,-0.509147544,-0.559851186,-0.593855152,-0.491500434,-0.437837459,-0.628531631,-0.456368396,-0.679065855,-0.556271725,-0.609444998,-0.579168054,-0.562129867,-0.602158944,-0.605854883,-0.738434398,-0.663158393,-0.739197835,-0.572596723,-0.52590761,-0.674102361,-0.576391814,-0.63697761,-0.688280462,-0.721707669,-0.680358061,-0.675744794,-0.654855915,-0.655526117,-0.672622023,-0.090869908,-0.357632926,-0.09141646,-0.975750855,-0.96683163,-0.973051243
59,fBodyAccJerk-std()-Z,-0.737861933,-0.767087015,-0.810806017,-0.860544668,-0.798835564,-0.755751144,-0.684856439,-0.691480917,-0.739139923,-0.779168171,-0.858259631,-0.808583,-0.74482354,-0.694424996,-0.845111061,-0.782089515,-0.822801748,-0.860168955,-0.728521901,-0.760509115,-0.794922814,-0.780252703,-0.627540368,-0.751628688,-0.870541516,-0.786049125,-0.797303408,-0.821715494,-0.818292781,-0.807184941,-0.50632908,-0.661590843,-0.443554665,-0.983670821,-0.981509251,-0.980971916
60,fBodyGyro-std()-X,-0.708263421,-0.73458854,-0.719276623,-0.721749187,-0.735738577,-0.69286244,-0.703883647,-0.675275353,-0.690689896,-0.692654262,-0.751758277,-0.750393858,-0.734657989,-0.74005221,-0.709336168,-0.804991832,-0.770057226,-0.812175241,-0.666071316,-0.704481841,-0.81102671,-0.714977903,-0.779197054,-0.794063529,-0.690398482,-0.787403101,-0.80628841,-0.762030978,-0.752567832,-0.676801996,-0.510431987,-0.495253977,-0.375127468,-0.982333274,-0.946971557,-0.969747303
61,fBodyGyro-std()-Y,-0.429825833,-0.727167741,-0.758505287,-0.782885736,-0.702290391,-0.63323623,-0.671161923,-0.573087292,-0.667203221,-0.565943678,-0.670892713,-0.733456732,-0.650623559,-0.348864187,-0.684504736,-0.809421448,-0.761335244,-0.759665554,-0.650105402,-0.567588606,-0.771388319,-0.78204608,-0.507850547,-0.771969809,-0.723584438,-0.803635337,-0.808791849,-0.740819453,-0.588857987,-0.496310421,-0.331961525,-0.293181828,-0.361853683,-0.964033659,-0.959498601,-0.961365375
62,fBodyGyro-std()-Z,-0.650476162,-0.683114495,-0.751008876,-0.767089573,-0.669353687,-0.673020315,-0.698949519,-0.553968588,-0.619468634,-0.64594772,-0.755960628,-0.708233154,-0.685774482,-0.407672097,-0.751696527,-0.756993641,-0.745101478,-0.766381665,-0.694729075,-0.575002191,-0.728319305,-0.690679449,-0.644131037,-0.735749934,-0.771208929,-0.735942384,-0.697147299,-0.700291283,-0.749163172,-0.62025339,-0.410569113,-0.292041342,-0.380409999,-0.961030235,-0.960689224,-0.966725247
63,fBodyAccMag-std(),-0.589710231,-0.646662308,-0.663079839,-0.672948342,-0.59425953,-0.57091029,-0.583819796,-0.651638076,-0.624456827,-0.633196111,-0.674470159,-0.650533282,-0.665344859,-0.548269931,-0.623655618,-0.712680991,-0.687536943,-0.733904051,-0.68986092,-0.648306199,-0.714345739,-0.673896213,-0.657048918,-0.705928426,-0.695367929,-0.6739178,-0.734883057,-0.696994,-0.639314176,-0.646522811,-0.480002278,-0.361753457,-0.075425167,-0.942000151,-0.949601613,-0.934916673
64,fBodyBodyAccJerkMag-std(),-0.54182308,-0.518800798,-0.615643695,-0.666506719,-0.613485124,-0.516711262,-0.550683255,-0.618027415,-0.611619343,-0.55302736,-0.676925076,-0.571614888,-0.617075473,-0.619215145,-0.643101167,-0.729869399,-0.692595779,-0.750189976,-0.641089006,-0.597351047,-0.683725127,-0.599286879,-0.583832309,-0.682447146,-0.78354723,-0.678025758,-0.707531366,-0.706415829,-0.636434471,-0.664600262,-0.22161777,-0.434206732,-0.042271423,-0.978154771,-0.970947967,-0.9731834
65,fBodyBodyGyroMag-std(),-0.56657667,-0.725310338,-0.703839403,-0.732586305,-0.715731148,-0.657368674,-0.650923648,-0.636673891,-0.697729433,-0.666014613,-0.71126722,-0.719438066,-0.691915161,-0.516930496,-0.69534684,-0.802078223,-0.782232495,-0.789777675,-0.662325968,-0.635816315,-0.793158526,-0.699600086,-0.632288527,-0.782076276,-0.69721312,-0.782624321,-0.777810419,-0.743784613,-0.671454324,-0.58919265,-0.473833094,-0.381406364,-0.361230992,-0.951641736,-0.930636703,-0.942115714
66,fBodyBodyGyroJerkMag-std(),-0.685811263,-0.744194981,-0.810032719,-0.863096864,-0.735610602,-0.660175875,-0.668963362,-0.7557173,-0.801296293,-0.787144257,-0.879254017,-0.797361458,-0.733183568,-0.760560088,-0.849634464,-0.886533212,-0.833701023,-0.902206781,-0.754223739,-0.694680032,-0.834949863,-0.835597218,-0.593735302,-0.796157265,-0.877714954,-0.823991408,-0.848260022,-0.818448508,-0.851462427,-0.822805619,-0.514404824,-0.703083532,-0.486442976,-0.984491356,-0.973461064,-0.976648217
